cell,x_um,y_um,orient
INTERNAL_3,1.33,-52.72,N
INTERNAL_7,4.09,-52.72,N
INTERNAL_7,9.61,-52.72,N
INTERNAL_3,15.13,-52.72,N
INTERNAL_3,20.65,-52.72,N
INTERNAL_3,26.17,-52.72,N
INTERNAL_7,28.93,-52.72,N
INTERNAL_3,34.45,-52.72,N
INTERNAL_3,45.49,-52.72,N
INTERNAL_7,48.25,-52.72,N
INTERNAL_3,56.53,-52.72,N
INTERNAL_7,59.29,-52.72,N
INTERNAL_3,64.81,-52.72,N
INTERNAL_3,70.33,-52.72,N
INTERNAL_7,75.85,-52.72,N
INTERNAL_3,81.37,-52.72,N
INTERNAL_3,86.89,-52.72,N
INTERNAL_7,89.65,-52.72,N
INTERNAL_7,97.93,-52.72,N
INTERNAL_7,103.45,-52.72,N
INTERNAL_3,117.25,-52.72,N
INTERNAL_7,120.01,-52.72,N
INTERNAL_7,128.29,-52.72,N
INTERNAL_3,133.81,-52.72,N
INTERNAL_3,136.57,-52.72,N
INTERNAL_3,147.61,-52.72,N
INTERNAL_7,150.37,-52.72,N
INTERNAL_3,158.65,-52.72,N
INTERNAL_3,161.41,-52.72,N
INTERNAL_3,164.17,-52.72,N
INTERNAL_7,169.69,-52.72,N
INTERNAL_3,177.97,-52.72,N
INTERNAL_7,180.73,-52.72,N
INTERNAL_3,186.25,-52.72,N
INTERNAL_3,191.77,-52.72,N
INTERNAL_7,194.53,-52.72,N
VIA_M1M2_PR,167.21,9.35,N
VIA_M1M2_PR,184.23,9.35,N
VIA_M1M2_PR,160.77,9.69,N
VIA_M1M2_PR,175.49,9.69,N
VIA_M1M2_PR,177.79,9.69,N
VIA_M1M2_PR,181.93,9.69,N
VIA_M1M2_PR,161.23,10.03,N
VIA_M1M2_PR,185.61,10.03,N
VIA_M1M2_PR,174.11,10.37,N
VIA_M1M2_PR,183.77,10.37,N
sky130_fd_sc_hd__decap_3,10.12,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,23.0,10.88,N
VIA_via2_3_2000_480_1_6_320_320,30.14,10.88,N
VIA_via3_4_2000_480_1_5_400_400,30.14,10.88,N
VIA_via4_5_2000_480_1_5_400_400,30.14,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,35.88,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,48.76,10.88,N
VIA_via3_4_2000_480_1_5_400_400,60.14,10.88,N
VIA_via2_3_2000_480_1_6_320_320,60.14,10.88,N
VIA_via4_5_2000_480_1_5_400_400,60.14,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,61.64,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,74.52,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,87.4,10.88,N
VIA_via4_5_2000_480_1_5_400_400,90.14,10.88,N
VIA_via3_4_2000_480_1_5_400_400,90.14,10.88,N
VIA_via2_3_2000_480_1_6_320_320,90.14,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,100.28,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,113.16,10.88,N
VIA_via3_4_2000_480_1_5_400_400,120.14,10.88,N
VIA_via4_5_2000_480_1_5_400_400,120.14,10.88,N
VIA_via2_3_2000_480_1_6_320_320,120.14,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,126.04,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,138.92,10.88,N
VIA_via3_4_2000_480_1_5_400_400,150.14,10.88,N
VIA_via4_5_2000_480_1_5_400_400,150.14,10.88,N
VIA_via2_3_2000_480_1_6_320_320,150.14,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,151.8,10.88,N
sky130_fd_sc_hd__or2_2,157.78,10.88,N
sky130_fd_sc_hd__nor2_2,162.38,10.88,FN
sky130_fd_sc_hd__nand2_2,164.68,10.88,FN
sky130_fd_sc_hd__tapvpwrvgnd_1,164.68,10.88,N
sky130_fd_sc_hd__and2_2,165.14,10.88,N
sky130_fd_sc_hd__a311o_2,167.9,10.88,N
sky130_fd_sc_hd__o22a_2,175.72,10.88,FN
sky130_fd_sc_hd__inv_2,177.1,10.88,FN
sky130_fd_sc_hd__tapvpwrvgnd_1,177.56,10.88,N
sky130_fd_sc_hd__o21a_2,178.02,10.88,N
VIA_via4_5_2000_480_1_5_400_400,180.14,10.88,N
VIA_via2_3_2000_480_1_6_320_320,180.14,10.88,N
VIA_via3_4_2000_480_1_5_400_400,180.14,10.88,N
sky130_fd_sc_hd__nand2_2,181.24,10.88,N
sky130_fd_sc_hd__nor2_2,185.84,10.88,N
sky130_fd_sc_hd__or2_2,185.84,10.88,FN
sky130_fd_sc_hd__decap_3,189.98,10.88,FN
VIA_M1M2_PR,167.21,11.39,N
VIA_L1M1_PR_MR,167.21,11.39,N
VIA_M1M2_PR,170.89,11.39,N
VIA_L1M1_PR_MR,176.41,11.39,N
VIA_M1M2_PR,191.13,11.39,N
VIA_L1M1_PR_MR,158.01,11.73,N
VIA_L1M1_PR_MR,159.85,11.73,N
VIA_M1M2_PR,160.31,11.73,N
VIA_M1M2_PR,171.35,11.73,N
VIA_L1M1_PR_MR,175.03,11.73,N
VIA_M1M2_PR,181.47,11.73,N
VIA_M1M2_PR,183.77,11.73,N
VIA_L1M1_PR_MR,183.77,11.73,N
VIA_L1M1_PR_MR,184.69,11.73,N
VIA_M2M3_PR,154.79,11.9,N
VIA_M2M3_PR,166.29,11.9,N
VIA_M2M3_PR,182.85,11.9,N
VIA_L1M1_PR_MR,158.93,12.07,N
VIA_M1M2_PR,158.93,12.07,N
VIA_M1M2_PR,161.23,12.07,N
VIA_L1M1_PR_MR,161.23,12.07,N
VIA_M1M2_PR,162.15,12.07,N
VIA_L1M1_PR_MR,162.15,12.07,N
VIA_L1M1_PR_MR,163.53,12.07,N
VIA_L1M1_PR_MR,164.45,12.07,N
VIA_M1M2_PR,165.83,12.07,N
VIA_L1M1_PR_MR,166.29,12.07,N
VIA_M1M2_PR,166.29,12.07,N
VIA_L1M1_PR_MR,169.51,12.07,N
VIA_L1M1_PR_MR,169.97,12.07,N
VIA_M1M2_PR,170.43,12.07,N
VIA_L1M1_PR_MR,170.43,12.07,N
VIA_L1M1_PR_MR,170.89,12.07,N
VIA_M1M2_PR,171.81,12.07,N
