NSTARS 0 REG 00000000
NSTARS 1 REG 00010000
NSTARS 2 REG 00100000
NSTARS 3 REG 00110000
NSTARS 4 REG 01000000
NSTARS 5 REG 01010000
NSTARS 6 REG 01100000
NSTARS 7 REG 01110000
NSTARS 8 REG 10000000
NSTARS 9 REG 10010000
NSTARS 10 REG 10100000
NSTARS 11 REG 10110000
NSTARS 12 REG 11000000
NSTARS 13 REG 11010000
NSTARS 14 REG 11100000
NSTARS 15 REG 11110000
NSTARS 16 REG 00000010
NSTARS 17 REG 00010010
NSTARS 18 REG 00100010
NSTARS 19 REG 00110010
NSTARS 20 REG 01000010
NSTARS 21 REG 01010010
NSTARS 22 REG 01100010
NSTARS 23 REG 01110010
NSTARS 24 REG 10000010
MSGOUT 0 0 0 success=0
MSGOUT 0 1 45 success=0
MSGOUT 0 2 4d success=0
MSGOUT 0 3 50 success=0
MSGOUT 0 4 54 success=0
MSGOUT 0 5 59 success=0
MSGOUT 0 6 20 success=0
MSGOUT 0 7 53 success=0
MSGOUT 0 8 4b success=0
MSGOUT 0 9 59 success=0
MSGOUT 0 10 0 success=0
MSGOUT 0 11 0 success=0
MSGOUT 0 12 0 success=0
MSGOUT 0 13 0 success=0
MSGOUT 0 14 0 success=0
MSGOUT 0 15 0 success=0
MSGOUT 0 16 0 success=0
MSGOUT 0 17 0 success=0
MSGOUT 0 18 0 success=0
MSGOUT 0 19 0 success=0
MSGOUT 0 20 0 success=0
MSGOUT 0 21 0 success=0
MSGOUT 0 22 0 success=0
MSGOUT 0 23 0 success=0
MSGOUT 0 24 0 success=0
MSGOUT 0 25 0 success=0
MSGOUT 0 26 0 success=0
MSGOUT 0 27 0 success=0
MSGOUT 0 28 0 success=0
MSGOUT 0 29 0 success=0
MSGOUT 0 30 0 success=0
MSGOUT 0 31 0 success=0
MSGOUT 0 32 0 success=0
MSGOUT 0 33 0 success=0
MSGOUT 0 34 0 success=0
MSGOUT 0 35 0 success=0
MSGOUT 0 36 0 success=0
MSGOUT 0 37 0 success=0
MSGOUT 0 38 0 success=0
MSGOUT 0 39 0 success=0
MSGOUT 1 0 0 success=0
MSGOUT 1 1 42 success=0
MSGOUT 1 2 49 success=0
MSGOUT 1 3 47 success=0
MSGOUT 1 4 20 success=0
MSGOUT 1 5 42 success=0
MSGOUT 1 6 41 success=0
MSGOUT 1 7 4e success=0
MSGOUT 1 8 47 success=0
MSGOUT 1 9 0 success=0
MSGOUT 1 10 0 success=0
MSGOUT 1 11 0 success=0
MSGOUT 1 12 0 success=0
MSGOUT 1 13 0 success=0
MSGOUT 1 14 0 success=0
MSGOUT 1 15 0 success=0
MSGOUT 1 16 0 success=0
MSGOUT 1 17 0 success=0
MSGOUT 1 18 0 success=0
MSGOUT 1 19 0 success=0
MSGOUT 1 20 0 success=0
MSGOUT 1 21 0 success=0
MSGOUT 1 22 0 success=0
MSGOUT 1 23 0 success=0
MSGOUT 1 24 0 success=0
MSGOUT 1 25 0 success=0
MSGOUT 1 26 0 success=0
MSGOUT 1 27 0 success=0
MSGOUT 1 28 0 success=0
MSGOUT 1 29 0 success=0
MSGOUT 1 30 0 success=0
MSGOUT 1 31 0 success=0
MSGOUT 1 32 0 success=0
MSGOUT 1 33 0 success=0
MSGOUT 1 34 0 success=0
MSGOUT 1 35 0 success=0
MSGOUT 1 36 0 success=0
MSGOUT 1 37 0 success=0
MSGOUT 1 38 0 success=0
MSGOUT 1 39 0 success=0
MSGOUT 2 0 0 success=0
MSGOUT 2 1 54 success=0
MSGOUT 2 2 52 success=0
MSGOUT 2 3 59 success=0
MSGOUT 2 4 20 success=0
MSGOUT 2 5 41 success=0
MSGOUT 2 6 47 success=0
MSGOUT 2 7 41 success=0
MSGOUT 2 8 49 success=0
MSGOUT 2 9 4e success=0
MSGOUT 2 10 0 success=0
MSGOUT 2 11 0 success=0
MSGOUT 2 12 0 success=0
MSGOUT 2 13 0 success=0
MSGOUT 2 14 0 success=0
MSGOUT 2 15 0 success=0
MSGOUT 2 16 0 success=0
MSGOUT 2 17 0 success=0
MSGOUT 2 18 0 success=0
MSGOUT 2 19 0 success=0
MSGOUT 2 20 0 success=0
MSGOUT 2 21 0 success=0
MSGOUT 2 22 0 success=0
MSGOUT 2 23 0 success=0
MSGOUT 2 24 0 success=0
MSGOUT 2 25 0 success=0
MSGOUT 2 26 0 success=0
MSGOUT 2 27 0 success=0
MSGOUT 2 28 0 success=0
MSGOUT 2 29 0 success=0
MSGOUT 2 30 0 success=0
MSGOUT 2 31 0 success=0
MSGOUT 2 32 0 success=0
MSGOUT 2 33 0 success=0
MSGOUT 2 34 0 success=0
MSGOUT 2 35 0 success=0
MSGOUT 2 36 0 success=0
MSGOUT 2 37 0 success=0
MSGOUT 2 38 0 success=0
MSGOUT 2 39 0 success=0
MSGOUT 3 0 0 success=0
MSGOUT 3 1 28 success=1
MSGOUT 3 2 2a success=1
MSGOUT 3 3 20 success=1
MSGOUT 3 4 54 success=1
MSGOUT 3 5 57 success=1
MSGOUT 3 6 4f success=1
MSGOUT 3 7 20 success=1
MSGOUT 3 8 53 success=1
MSGOUT 3 9 54 success=1
MSGOUT 3 10 41 success=1
MSGOUT 3 11 52 success=1
MSGOUT 3 12 53 success=1
MSGOUT 3 13 20 success=1
MSGOUT 3 14 2a success=1
MSGOUT 3 15 29 success=1
MSGOUT 3 16 0 success=1
MSGOUT 3 17 0 success=1
MSGOUT 3 18 0 success=1
MSGOUT 3 19 0 success=1
MSGOUT 3 20 0 success=1
