cell,x_um,y_um,orient
sky130_fd_sc_hd__decap_3,10.12,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,23.0,10.88,N
VIA_via4_5_2000_480_1_5_400_400,30.14,10.88,N
VIA_via2_3_2000_480_1_6_320_320,30.14,10.88,N
VIA_via3_4_2000_480_1_5_400_400,30.14,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,35.88,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,48.76,10.88,N
VIA_via4_5_2000_480_1_5_400_400,60.14,10.88,N
VIA_via3_4_2000_480_1_5_400_400,60.14,10.88,N
VIA_via2_3_2000_480_1_6_320_320,60.14,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,61.64,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,74.52,10.88,N
sky130_fd_sc_hd__tapvpwrvgnd_1,87.4,10.88,N
sky130_fd_sc_hd__decap_3,89.7,10.88,FN
VIA_via3_4_2000_480_1_5_400_400,26.44,13.6,N
VIA_via4_5_2000_480_1_5_400_400,26.44,13.6,N
VIA_via2_3_2000_480_1_6_320_320,26.44,13.6,N
VIA_via4_5_2000_480_1_5_400_400,56.44,13.6,N
VIA_via3_4_2000_480_1_5_400_400,56.44,13.6,N
VIA_via2_3_2000_480_1_6_320_320,56.44,13.6,N
VIA_via2_3_2000_480_1_6_320_320,86.44,13.6,N
VIA_via4_5_2000_480_1_5_400_400,86.44,13.6,N
VIA_via3_4_2000_480_1_5_400_400,86.44,13.6,N
VIA_L1M1_PR_MR,71.99,15.13,N
VIA_M1M2_PR,78.89,15.13,N
VIA_M1M2_PR,69.23,15.47,N
VIA_L1M1_PR_MR,70.15,15.47,N
VIA_L1M1_PR_MR,71.07,15.47,N
VIA_M1M2_PR,80.27,15.47,N
sky130_fd_sc_hd__decap_3,10.12,16.32,FS
sky130_fd_sc_hd__decap_3,10.12,16.32,N
sky130_fd_sc_hd__tapvpwrvgnd_1,23.0,16.32,N
VIA_via4_5_2000_480_1_5_400_400,30.14,16.32,N
VIA_via2_3_2000_480_1_6_320_320,30.14,16.32,N
VIA_via3_4_2000_480_1_5_400_400,30.14,16.32,N
sky130_fd_sc_hd__tapvpwrvgnd_1,35.88,16.32,FS
sky130_fd_sc_hd__tapvpwrvgnd_1,48.76,16.32,N
VIA_via4_5_2000_480_1_5_400_400,60.14,16.32,N
VIA_via3_4_2000_480_1_5_400_400,60.14,16.32,N
VIA_via2_3_2000_480_1_6_320_320,60.14,16.32,N
sky130_fd_sc_hd__tapvpwrvgnd_1,61.64,16.32,FS
sky130_fd_sc_hd__nor2_2,69.92,16.32,FN
sky130_fd_sc_hd__and2_2,69.92,16.32,N
sky130_fd_sc_hd__or2_2,72.22,16.32,S
