scope,text,layer,texttype,x_um,y_um
TOP,A,70,5,0.3,41.14
TOP,B,70,5,0.3,35.7
TOP,S,70,5,99.7,16.66
TOP,clk,70,5,0.3,73.78
TOP,en,70,5,0.3,30.26
TOP,rst_n,70,5,0.3,57.46
TOP,VGND,71,5,30.14,50.32
TOP,VPWR,71,5,26.44,50.32
TOP,VGND,72,5,49.910000000000004,31.23
TOP,VPWR,72,5,49.910000000000004,27.53
sky130_fd_sc_hd__decap_3,VPWR,68,5,0.23,2.72
sky130_fd_sc_hd__decap_3,VGND,68,5,0.23,0.0
sky130_fd_sc_hd__decap_3,VPB,64,5,0.23,2.72
sky130_fd_sc_hd__decap_3,VNB,64,59,0.23,0.0
sky130_fd_sc_hd__decap_3,decap_3,83,44,0.0,0.0
sky130_fd_sc_hd__tapvpwrvgnd_1,VPWR,68,5,0.23,2.72
sky130_fd_sc_hd__tapvpwrvgnd_1,VGND,68,5,0.23,0.0
sky130_fd_sc_hd__tapvpwrvgnd_1,tapvpwrvgnd_1,83,44,0.0,0.0
sky130_fd_sc_hd__clkbuf_16,X,67,5,8.05,1.53
sky130_fd_sc_hd__clkbuf_16,X,67,5,8.51,1.53
sky130_fd_sc_hd__clkbuf_16,X,67,5,8.51,1.19
sky130_fd_sc_hd__clkbuf_16,X,67,5,8.05,1.19
sky130_fd_sc_hd__clkbuf_16,X,67,5,8.05,0.85
sky130_fd_sc_hd__clkbuf_16,X,67,5,8.51,0.85
sky130_fd_sc_hd__clkbuf_16,A,67,5,0.23,0.85
sky130_fd_sc_hd__clkbuf_16,A,67,5,0.23,1.19
sky130_fd_sc_hd__clkbuf_16,VGND,68,5,0.23,0.0
sky130_fd_sc_hd__clkbuf_16,VPWR,68,5,0.23,2.72
sky130_fd_sc_hd__clkbuf_16,VPB,64,5,0.23,2.72
sky130_fd_sc_hd__clkbuf_16,VPB,64,5,0.23,2.72
sky130_fd_sc_hd__clkbuf_16,VNB,64,59,0.23,0.0
sky130_fd_sc_hd__clkbuf_16,VNB,64,59,0.23,0.0
sky130_fd_sc_hd__clkbuf_16,clkbuf_16,83,44,0.0,0.0
sky130_fd_sc_hd__and4bb_2,A_N,67,5,0.23500000000000001,1.53
sky130_fd_sc_hd__and4bb_2,C,67,5,2.995,0.51
sky130_fd_sc_hd__and4bb_2,B_N,67,5,3.9050000000000002,0.85
sky130_fd_sc_hd__and4bb_2,C,67,5,2.995,0.85
sky130_fd_sc_hd__and4bb_2,X,67,5,1.155,1.19
sky130_fd_sc_hd__and4bb_2,X,67,5,1.155,1.53
sky130_fd_sc_hd__and4bb_2,C,67,5,2.995,1.19
sky130_fd_sc_hd__and4bb_2,A_N,67,5,0.23500000000000001,1.19
sky130_fd_sc_hd__and4bb_2,X,67,5,1.155,0.85
sky130_fd_sc_hd__and4bb_2,D,67,5,3.455,0.51
sky130_fd_sc_hd__and4bb_2,VGND,68,5,0.23,0.0
sky130_fd_sc_hd__and4bb_2,VPWR,68,5,0.23,2.72
sky130_fd_sc_hd__and4bb_2,VPB,64,5,0.23,2.72
sky130_fd_sc_hd__and4bb_2,VNB,64,59,0.23,0.0
sky130_fd_sc_hd__and4bb_2,and4bb_2,83,44,0.0,0.0
sky130_fd_sc_hd__and3_2,B,67,5,1.1500000000000001,2.21
sky130_fd_sc_hd__and3_2,X,67,5,2.07,0.51
sky130_fd_sc_hd__and3_2,X,67,5,2.07,2.21
sky130_fd_sc_hd__and3_2,A,67,5,0.23,0.85
